url,Electrolytes.Salts.Name,Electrolytes.Solvents.Name,Electrolytes.Additives.Name,Anode.Name,Cathode.Name,System of electrolyte.Type,Properties of electrolyte.LUMO energy level.Value,Properties of electrolyte.LUMO energy level.Unit,Properties of electrolyte.HOMO energy level.Value,Properties of electrolyte.HOMO energy level.Unit,Properties of electrolyte.Viscosity (η).Value,Properties of electrolyte.Viscosity (η).Unit,Properties of electrolyte.Viscosity (η).Temperature.Value,Properties of electrolyte.Viscosity (η).Temperature.Unit,Properties of electrolyte.Dielectric constant (ε).Value,Properties of electrolyte.Melting point.Value,Properties of electrolyte.Melting point.Unit,Properties of electrolyte.Boiling point.Value,Properties of electrolyte.Boiling point.Unit,Properties of electrolyte.Flash Point.Value,Properties of electrolyte.Flash Point.Unit,Performance.Energy density.Value,Performance.Energy density.Unit,Performance.Coulombic efficiency.Value,Performance.Coulombic efficiency.Unit,Performance.Cycle lifespan.Value,Performance.Cycle lifespan.Unit,Performance.Rate performance.Value,Performance.Rate performance.Unit,Electrolytes.Solvents1.Name,Electrolytes.Solvents2.Name,Electrolytes.Solvents3.Name,Electrolytes.Solvents4.Name,Electrolytes.Additives,Electrolytes.Additives1.Name,Electrolytes.Additives2.Name,Anode1.Name,Anode2.Name,Cathode1.Name,Cathode2.Name,Cathode3.Name,Electrolytes.Salts1.Name,Electrolytes.Salts2.Name,Electrolytes.Salts3.Name,Performance.Coulombic efficiency.Value1,Performance.Coulombic efficiency.Value2,Electrolytes.Additives3.Name,Electrolytes.Additives4.Name,Properties of electrolyte.LUMO energy level.Value1.Name,Properties of electrolyte.LUMO energy level.Value1.Value,Properties of electrolyte.LUMO energy level.Value1.Unit,Properties of electrolyte.LUMO energy level.Value2.Name,Properties of electrolyte.LUMO energy level.Value2.Value,Properties of electrolyte.LUMO energy level.Value2.Unit,Properties of electrolyte.LUMO energy level.Value3.Name,Properties of electrolyte.LUMO energy level.Value3.Value,Properties of electrolyte.LUMO energy level.Value3.Unit,Electrolytes.Solvents.Ratio,Electrolytes.Solvents5.Name
10003-10.1016_j.elecom.2005.08.017,N/A,N/A,N/A,Activated carbon (AC),Lithium manganese oxide (LiMn2O4),Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,35,Wh/kg,100,%,20000,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10139-10.1016_j.tca.2005.06.010,LiPF6,,,Graphite (LixC6),LiCoO2 (Li0.5CoO2),Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,200,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,Ethylene carbonate (EC),Diethyl carbonate (DEC),Dimethyl carbonate (DMC),Propylene carbonate (PC),N/A,,,,,,,,,,,,,,,,,,,,,,,,,
10276-10.1149_1.1872673,LiPF6,,N/A,Li metal,CoO,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,Ethylene carbonate (EC),Dimethyl carbonate (DMC),Propylene carbonate (PC),Ethyl methyl carbonate (EMC),,,,,,,,,,,,,,,,,,,,,,,,,,
10490-10.1246_cl.2005.1012,lithium hexafluorophosphate (LiPF6),,,N/A,lithium cobalt oxide (LiCoO2),Conventional,N/A,eV,N/A,eV,3.2,mPa s,N/A,°C,N/A,-20,°C,170,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,1,mA/cm2,ethylene carbonate (EC),dimethyl carbonate (DMC),,,,fluorinated cyclotriphosphazene (FCPN),hexamethoxycyclotriphosphazene (HMOCPN),,,,,,,,,,,,,,,,,,,,,,,
10623-10.1016_j.jpowsour.2005.02.021,LiPF6,,N/A,Graphite,LiCoO2,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,Ethylene carbonate (EC),Diethyl carbonate (DEC),Dimethyl carbonate (DMC),Ethylmethyl carbonate (EMC),,,,,,,,,,,,,,,,,,,,,,,,,,
10663-10.1016_j.elecom.2005.09.021,LiPF6,,,Graphite,"Li(Al,Co,Ni)O2",Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,Ethylene carbonate (EC),Propylene carbonate (PC),,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
10708-10.1149_1.1854117,LiPF6,N/A,N/A,MCMB carbon,LiCoO2,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,9000,cycles,"C/2 (charge), 2/3C (discharge)",C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10718-10.1016_j.elecom.2005.06.009,lithium perchlorate (LiClO4),propylene carbonate (PC),N/A,graphite,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10732-10.1021_jp052474w,lithium hexafluorophosphate (LiPF6),,,Li metal,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,50-75,%,N/A,cycles,N/A,C,ethylene carbonate (EC),ethyl methyl carbonate (EMC),,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
10924-10.1149_1.1850861,LiF-LiCl-LiI,N/A,N/A,Li-Si,FeS2,N/A,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
