url,Electrolytes.Salts.Name,Electrolytes.Solvents.Name,Electrolytes.Additives.Name,Anode.Name,Cathode.Name,System of electrolyte.Type,Properties of electrolyte.LUMO energy level.Value,Properties of electrolyte.LUMO energy level.Unit,Properties of electrolyte.HOMO energy level.Value,Properties of electrolyte.HOMO energy level.Unit,Properties of electrolyte.Viscosity (η).Value,Properties of electrolyte.Viscosity (η).Unit,Properties of electrolyte.Viscosity (η).Temperature.Value,Properties of electrolyte.Viscosity (η).Temperature.Unit,Properties of electrolyte.Dielectric constant (ε).Value,Properties of electrolyte.Melting point.Value,Properties of electrolyte.Melting point.Unit,Properties of electrolyte.Boiling point.Value,Properties of electrolyte.Boiling point.Unit,Properties of electrolyte.Flash Point.Value,Properties of electrolyte.Flash Point.Unit,Performance.Energy density.Value,Performance.Energy density.Unit,Performance.Coulombic efficiency.Value,Performance.Coulombic efficiency.Unit,Performance.Cycle lifespan.Value,Performance.Cycle lifespan.Unit,Performance.Rate performance.Value,Performance.Rate performance.Unit,Cathode.Name1,Cathode.Name2,Cathode.Name3,Cathode.Name4,Electrolytes.Solvents1.Name,Electrolytes.Solvents2.Name,Electrolytes.Solvents3.Name,Electrolytes.Solvents4.Name,Electrolytes.Additives,Cathode,Properties of electrolyte.LUMO energy level,Properties of electrolyte.HOMO energy level,Properties of electrolyte.Viscosity (η),Properties of electrolyte.Dielectric constant (ε),Properties of electrolyte.Melting point,Properties of electrolyte.Boiling point,Properties of electrolyte.Flash Point,Performance.Energy density,Performance.Coulombic efficiency,Performance.Cycle lifespan,Performance.Rate performance,Electrolytes.Salts1.Name,Electrolytes.Salts2.Name,Electrolytes.Salts3.Name,Electrolytes.Salts4.Name,Electrolytes.Additives1.Name,Performance.Rate performance.Value1,Performance.Rate performance.Value2,Cathode1.Name,Cathode2.Name,Cathode3.Name,Performance.Coulombic efficiency.Note,Electrolytes.Solvents5.Name,Electrolytes.Additives2.Name,Cathode.Name5,Cathode.Name6,Cathode.Name7,Performance.Energy density.Value1,Performance.Energy density.Value2,Performance.Energy density.Value3,Performance.Energy density.Value4,Performance.Energy density.Value5,Performance.Energy density.Value6,Performance.Energy density.Value7
10048-10.1016_j.mejo.2007.02.009,N/A,N/A,N/A,Ag,LiNi0.4La0.1Mn1.5O4,N/A,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10205-10.1016_j.jpowsour.2006.09.010,LiPF6,EC/PC/DMC (1/1/3),Li bis(oxalate)borate (LiBoB),MCMB 10-28 graphite,LiNi1/3Co1/3Mn1/3O2 (NCM),Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,500,cycles,1,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10241-10.1016_j.jpowsour.2007.02.055,LiPF6,Diethyl carbonate (DEC)/Dimethyl carbonate (DMC)/Ethylene carbonate (EC),Dimethyl acetamide (DMAc),N/A,,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,LiNi0.8Co0.2O2,LiCoO2,LiMn2O4,LiFePO4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10256-10.1016_j.jpowsour.2006.09.051,lithium hexafluorophosphate (LiPF6),"ethylene carbonate (EC), diethyl carbonate (DEC)","2,2-dimethoxy-propane (DMP)",graphite anode,LiCoO2 cathode,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,100,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10297-10.1016_j.jpowsour.2007.03.001,lithium hexafluorophosphate (LiPF6),ethylene carbonate (EC)/diethyl carbonate (DEC),N/A,Li metal,barium ferrate (BaFeO4),Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438-10.1149_1.2388731,LiPF6,"Ethylene carbonate (EC), Dimethyl carbonate (DMC)",N/A,Li metal,LiCoO2,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,100,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10475-10.1149_1.2424419,LiPF6,,,Graphite,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethylene carbonate (EC),Diethyl carbonate (DEC),Dimethyl carbonate (DMC),Propylene carbonate (PC),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,
10681-10.1016_j.jpowsour.2007.04.022,LiPF6,Dimethyl carbonate (DMC),N/A,Li metal,LiMn2−xNixO4,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10772-10.1016_j.jpowsour.2007.05.099,lithium perchlorate (LiClO4),propylene carbonate (PC) and dimethyl carbonate (DMC),N/A,graphite,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,67.7,%,10,cycles,0.1,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10999-10.1021_la701168x,lithium hexafluorophosphate (LiPF6),ethylene carbonate (EC) + dimethyl carbonate (DMC),N/A,Sn thin film,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11110-10.1016_j.electacta.2007.02.004,Lithium nitrate (LiNO3),N/A,N/A,LixV2O5,LiMn2O4,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,40,cycles,0.2,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11183-10.1016_j.apsusc.2006.10.071,,,,Graphite,LiCoO2,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,C/20,C,,,,,Dimethyl carbonate (DMC),Ethylene carbonate (EC),Diethyl carbonate (DEC),,,,,,,,,,,,,,,Lithium hexafluorophosphate (LiPF6),Lithium tetrafluoroborate (LiBF4),Lithium bis(trifluoromethanesulfonyl)imide (LiTFSI),Lithium bis(pentafluoroethanesulfonyl)imide (LiBETI),Vinylene carbonate (VC),,,,,,,,,,,,,,,,,,
