url,Electrolytes.Salts.Name,Electrolytes.Solvents.Name,Electrolytes.Additives.Name,Anode.Name,Cathode.Name,System of electrolyte.Type,Properties of electrolyte.LUMO energy level.Value,Properties of electrolyte.LUMO energy level.Unit,Properties of electrolyte.HOMO energy level.Value,Properties of electrolyte.HOMO energy level.Unit,Properties of electrolyte.Viscosity (η).Value,Properties of electrolyte.Viscosity (η).Unit,Properties of electrolyte.Viscosity (η).Temperature.Value,Properties of electrolyte.Viscosity (η).Temperature.Unit,Properties of electrolyte.Dielectric constant (ε).Value,Properties of electrolyte.Melting point.Value,Properties of electrolyte.Melting point.Unit,Properties of electrolyte.Boiling point.Value,Properties of electrolyte.Boiling point.Unit,Properties of electrolyte.Flash Point.Value,Properties of electrolyte.Flash Point.Unit,Performance.Energy density.Value,Performance.Energy density.Unit,Performance.Coulombic efficiency.Value,Performance.Coulombic efficiency.Unit,Performance.Cycle lifespan.Value,Performance.Cycle lifespan.Unit,Performance.Rate performance.Value,Performance.Rate performance.Unit,Electrolytes.Solvents1.Name,Electrolytes.Solvents2.Name,Properties of electrolyte.LUMO energy level1.Value,Properties of electrolyte.LUMO energy level1.Unit,Properties of electrolyte.LUMO energy level1.Substance,Properties of electrolyte.LUMO energy level2.Value,Properties of electrolyte.LUMO energy level2.Unit,Properties of electrolyte.LUMO energy level2.Substance,Properties of electrolyte.LUMO energy level3.Value,Properties of electrolyte.LUMO energy level3.Unit,Properties of electrolyte.LUMO energy level3.Substance,Properties of electrolyte.LUMO energy level4.Value,Properties of electrolyte.LUMO energy level4.Unit,Properties of electrolyte.LUMO energy level4.Substance,Properties of electrolyte.HOMO energy level1.Value,Properties of electrolyte.HOMO energy level1.Unit,Properties of electrolyte.HOMO energy level1.Substance,Properties of electrolyte.HOMO energy level2.Value,Properties of electrolyte.HOMO energy level2.Unit,Properties of electrolyte.HOMO energy level2.Substance,Properties of electrolyte.HOMO energy level3.Value,Properties of electrolyte.HOMO energy level3.Unit,Properties of electrolyte.HOMO energy level3.Substance,Properties of electrolyte.HOMO energy level4.Value,Properties of electrolyte.HOMO energy level4.Unit,Properties of electrolyte.HOMO energy level4.Substance,Properties of electrolyte.Melting point.Substance,Electrolytes.Solvents3.Name,Electrolytes.Solvents4.Name,Electrolytes.Additives,Electrolytes.Salts1.Name,Electrolytes.Salts2.Name,Electrolytes.Salts3.Name,Electrolytes.Salts4.Name,Electrolytes.Salts5.Name,Electrolytes.Additives1.Name,Electrolytes.Additives2.Name,Electrolytes.Additives3.Name,Electrolytes.Additives4.Name,Electrolytes.Additives5.Name,Electrolytes.Additives6.Name,Properties of electrolyte.Viscosity (η)1.Value,Properties of electrolyte.Viscosity (η)1.Unit,Properties of electrolyte.Viscosity (η)1.Temperature.Value,Properties of electrolyte.Viscosity (η)1.Temperature.Unit,Properties of electrolyte.Viscosity (η)2.Value,Properties of electrolyte.Viscosity (η)2.Unit,Properties of electrolyte.Viscosity (η)2.Temperature.Value,Properties of electrolyte.Viscosity (η)2.Temperature.Unit,Properties of electrolyte.Dielectric constant (ε)1.Value,Properties of electrolyte.Dielectric constant (ε)1.Temperature.Value,Properties of electrolyte.Dielectric constant (ε)1.Temperature.Unit,Properties of electrolyte.Dielectric constant (ε)2.Value,Properties of electrolyte.Dielectric constant (ε)2.Temperature.Value,Properties of electrolyte.Dielectric constant (ε)2.Temperature.Unit,Properties of electrolyte.Dielectric constant (ε)3.Value,Properties of electrolyte.Dielectric constant (ε)3.Temperature.Value,Properties of electrolyte.Dielectric constant (ε)3.Temperature.Unit,Properties of electrolyte.Melting point1.Value,Properties of electrolyte.Melting point1.Unit,Properties of electrolyte.Melting point2.Value,Properties of electrolyte.Melting point2.Unit,Properties of electrolyte.Boiling point1.Value,Properties of electrolyte.Boiling point1.Unit,Properties of electrolyte.Boiling point2.Value,Properties of electrolyte.Boiling point2.Unit,Cathode,Properties of electrolyte.LUMO energy level,Properties of electrolyte.HOMO energy level,Properties of electrolyte.Viscosity (η),Properties of electrolyte.Dielectric constant (ε),Properties of electrolyte.Melting point,Properties of electrolyte.Boiling point,Properties of electrolyte.Flash Point,Performance.Energy density,Performance.Coulombic efficiency,Performance.Cycle lifespan,Performance.Rate performance,,Properties of electrolyte.LUMO energy level1.Name,Properties of electrolyte.LUMO energy level2.Name,Properties of electrolyte.LUMO energy level3.Name,Properties of electrolyte.LUMO energy level4.Name,Properties of electrolyte.LUMO energy level5.Name,Properties of electrolyte.LUMO energy level5.Value,Properties of electrolyte.LUMO energy level5.Unit,Properties of electrolyte.LUMO energy level6.Name,Properties of electrolyte.LUMO energy level6.Value,Properties of electrolyte.LUMO energy level6.Unit,Properties of electrolyte.Viscosity (η)1.Name,Properties of electrolyte.Viscosity (η)2.Name,Properties of electrolyte.Viscosity (η)3.Name,Properties of electrolyte.Viscosity (η)3.Value,Properties of electrolyte.Viscosity (η)3.Unit,Properties of electrolyte.Viscosity (η)3.Temperature.Value,Properties of electrolyte.Viscosity (η)3.Temperature.Unit,Properties of electrolyte.Viscosity (η)4.Name,Properties of electrolyte.Viscosity (η)4.Value,Properties of electrolyte.Viscosity (η)4.Unit,Properties of electrolyte.Viscosity (η)4.Temperature.Value,Properties of electrolyte.Viscosity (η)4.Temperature.Unit,Properties of electrolyte.Viscosity (η)5.Name,Properties of electrolyte.Viscosity (η)5.Value,Properties of electrolyte.Viscosity (η)5.Unit,Properties of electrolyte.Viscosity (η)5.Temperature.Value,Properties of electrolyte.Viscosity (η)5.Temperature.Unit,Properties of electrolyte.Dielectric constant (ε)1.Name,Properties of electrolyte.Dielectric constant (ε)2.Name,Properties of electrolyte.Dielectric constant (ε)3.Name,Properties of electrolyte.Dielectric constant (ε)4.Name,Properties of electrolyte.Dielectric constant (ε)4.Value,Properties of electrolyte.Dielectric constant (ε)5.Name,Properties of electrolyte.Dielectric constant (ε)5.Value,Properties of electrolyte.Melting point1.Name,Properties of electrolyte.Melting point2.Name,Properties of electrolyte.Melting point3.Name,Properties of electrolyte.Melting point3.Value,Properties of electrolyte.Melting point3.Unit,Properties of electrolyte.Melting point4.Name,Properties of electrolyte.Melting point4.Value,Properties of electrolyte.Melting point4.Unit,Properties of electrolyte.Melting point5.Name,Properties of electrolyte.Melting point5.Value,Properties of electrolyte.Melting point5.Unit,Properties of electrolyte.Boiling point1.Name,Properties of electrolyte.Boiling point2.Name,Properties of electrolyte.Boiling point3.Name,Properties of electrolyte.Boiling point3.Value,Properties of electrolyte.Boiling point3.Unit,Properties of electrolyte.Boiling point4.Name,Properties of electrolyte.Boiling point4.Value,Properties of electrolyte.Boiling point4.Unit,Properties of electrolyte.Boiling point5.Name,Properties of electrolyte.Boiling point5.Value,Properties of electrolyte.Boiling point5.Unit,Properties of electrolyte.Flash Point1.Name,Properties of electrolyte.Flash Point1.Value,Properties of electrolyte.Flash Point1.Unit,Properties of electrolyte.Flash Point2.Name,Properties of electrolyte.Flash Point2.Value,Properties of electrolyte.Flash Point2.Unit,Properties of electrolyte.Flash Point3.Name,Properties of electrolyte.Flash Point3.Value,Properties of electrolyte.Flash Point3.Unit,Properties of electrolyte.Flash Point4.Name,Properties of electrolyte.Flash Point4.Value,Properties of electrolyte.Flash Point4.Unit,Properties of electrolyte.Flash Point5.Name,Properties of electrolyte.Flash Point5.Value,Properties of electrolyte.Flash Point5.Unit
10067-10.2478_s11532-008-0058-8,LiPF6,"Ethylene carbonate (EC), Diethyl carbonate (DEC), Propylene carbonate (PC)","Methyl tris-2-methoxyethoxy silane (MeSi23), Ethyl tris-2-methoxyethoxy silane (EtSi23), Vinyl tris-2-methoxyethoxy silane (ViSi23), Phenyl tris-2-methoxyethoxy silane (PhSi23)",Graphite,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10158-10.1149_1.2815609,lithium bis(trifluoromethanesulfonyl)imide (LiTFSI),propylene carbonate (PC),N/A,Li metal,LiFePO4 (LFP),Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,20,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10158-10.1149_1.2815609,lithium hexafluorophosphate (LiPF6),propylene carbonate (PC),N/A,Li metal,LiFePO4 (LFP),Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,20,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10158-10.1149_1.2815609,lithium sulfate (Li2SO4),aqueous,N/A,Li metal,LiFePO4 (LFP),Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,50,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10303-10.1149_1.2801366,LiPF6,Ethylene carbonate (EC)/Ethyl methyl carbonate (EMC),N/A,Li4/3Ti5/3O4 (LTO),Li1.05(Ni1/3Co1/3Mn1/3)0.95O2,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10574-10.1149_1.2937304,N/A,N/A,N/A,Li metal,Elemental sulfur (S8),N/A,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,2600,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10600-10.1016_j.jpowsour.2007.10.071,lithium sulfate (Li2SO4),N/A,N/A,manganese oxide,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,150,cycles,18.4,A g−1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10652-10.1016_j.elecom.2008.08.018,LiPF6,,N-vinyl-2-pyrrolidone (NVP),Graphite,N/A,Conventional,,,,,N/A,Pa s,N/A,°C,N/A,39,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,10,cycles,N/A,C,Propylene carbonate (PC),Dimethyl carbonate (DMC),0.039,Ha,Ethylene carbonate (EC),0.0321,Ha,Dimethyl carbonate (DMC),0.031,Ha,Propylene carbonate (PC),-0.0068,Ha,N-vinyl-2-pyrrolidone (NVP),-0.2949,Ha,Ethylene carbonate (EC),-0.295,Ha,Dimethyl carbonate (DMC),-0.305,Ha,Propylene carbonate (PC),-0.2227,Ha,N-vinyl-2-pyrrolidone (NVP),Ethylene carbonate (EC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10890-10.1021_jo800272q,lithium bis(trifluoromethanesulfonyl)imide (LiTFSI),N/A,N/A,N/A,N/A,Fluorinated electrolytes,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10909-10.1016_j.jpowsour.2008.04.091,LiPF6,,,Li4Ti5O12 (LTO),LiNi0.5Mn1.5O4 (LNMO),Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,higher CE for LTO-limited cell,%,better cycling performance for LTO-limited cell,cycles,N/A,C,Ethylene carbonate (EC),Dimethyl carbonate (DMC),,,,,,,,,,,,,,,,,,,,,,,,,,Diethyl carbonate (DEC),Propylene carbonate (PC),N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
