1,ep-980812,CC#N
2,ep-980813,N#Cc1ccccc1
3,ep-980814,N#CCC#N
4,ep-980815,N#CCCC#N
5,ep-980816,COC(C)C#N
6,ep-980817,CCOCCC#N
7,ep-980818,CN(C)C(=O)N(C)C
8,ep-980819,CC(=O)N(C)C
9,ep-980820,CN(C)C=O
10,ep-980821,CCOP1(=O)OCCO1
11,ep-980822,O=P1(OCC(F)(F)F)OCCO1
12,ep-980823,COP(C)(=O)OC
13,ep-980824,COP(=O)(OC)OC
14,ep-980825,CCOP(=O)(OCC)OCC
15,ep-980826,CS(=O)C
16,ep-980827,COS(=O)OC
17,ep-980828,CCOS(=O)OCC
18,ep-980829,C1COS(=O)O1
19,ep-980830,CC1COS(=O)O1
20,ep-980831,CS(=O)(=O)c1ccccc1F
21,ep-980832,CCS(=O)(=O)C
22,ep-980833,CC(C)S(=O)(=O)C
23,ep-980834,CS(=O)(=O)F
24,ep-980835,CS(=O)(=O)CCC(F)(F)F
25,ep-980836,COCCS(=O)(=O)C
26,ep-980837,CCS(=O)(=O)CCOC
27,ep-980838,CCS(=O)(=O)CCOCCOC
28,ep-980839,CCS(=O)(=O)C(C)C
29,ep-980840,CCS(=O)(=O)CC(C)C
30,ep-980841,CCC(C)S(=O)(=O)CC
31,ep-980842,CCS(=O)(=O)C=C
32,ep-980843,CCS(=O)(=O)C1CCCC1
33,ep-980844,CCCS(=O)(=O)CCC
34,ep-980845,CC1CCS1(=O)=O
35,ep-980846,C1CCS(=O)(=O)C1
36,ep-980847,CC1CCS(=O)(=O)C1
37,ep-980848,C[Si](C)(C)OB(O[Si](C)(C)C)O[Si](C)(C)C
38,ep-980849,CO[Si](C)(C)OC
39,ep-980850,CCO[Si](OCC)(OCC)OCC
40,ep-980851,CCO[Si](C)(OCC)OCC
41,ep-980852,CCO[Si](C)(C)OCC
42,ep-980853,CO[Si](C)(C)C
43,ep-980854,C[Si](C)(C)C(F)(F)F
